start_station_name,total_trips,start_lat,start_lng,postalCode,geometry,zip_code,HVI_Score
Isham St & Broadway,706,40.86788,-73.919685,10034,POINT (-73.919685 40.86788),10034,1.0
Ithaca St & Baxter Ave,864,40.74638,-73.88322,11373,POINT (-73.88322 40.74638),11373,3.0
Jackson Ave & 46 Rd,2345,40.74524768,-73.94733276,11101,POINT (-73.94733276 40.74524768),11101,4.0
Jackson Ave & 49 Ave,4223,40.7429302,-73.952037,11101,POINT (-73.952037 40.7429302),11101,4.0
Jackson Mill Rd & 24 Ave,181,40.76619,-73.87561,11369,POINT (-73.87561 40.76619),11369,4.0
Jackson Mill Rd & 93 St,273,40.75874,-73.87535,11369,POINT (-73.87535 40.75874),11369,4.0
Jackson St & Leonard St,1442,40.71638031973561,-73.94821286201477,11211,POINT (-73.94821286201477 40.71638031973561),11211,3.0
Jay St & Tech Pl,3228,40.695065,-73.987167,11201,POINT (-73.987167 40.695065),11201,2.0
Jay St & York St,4466,40.70140317257725,-73.98672670125961,11201,POINT (-73.98672670125961 40.70140317257725),11201,2.0
Jefferson Ave & Evergreen Ave,1071,40.68989,-73.91458,11221,POINT (-73.91458 40.68989),11221,4.0
Jefferson Ave & Patchen Ave,767,40.68609,-73.92628,11221,POINT (-73.92628 40.68609),11221,4.0
Jefferson St & Cypress Ave,1701,40.70907,-73.92157,11237,POINT (-73.92157 40.70907),11237,4.0
Jerome Ave & Anderson Ave,303,40.830179,-73.928747,10452,POINT (-73.928747 40.830179),10452,5.0
Jerome Ave & Bedford Park Blvd E,513,40.87307,-73.88971,10468,POINT (-73.88971 40.87307),10468,4.0
Jerome Ave & E 164 St,477,40.831444,-73.926226,10452,POINT (-73.926226 40.831444),10452,5.0
Jerome Ave & E 181 St,264,40.855653,-73.905528,10453,POINT (-73.905528 40.855653),10453,5.0
Jerome Ave & E 198 St,155,40.87144520687118,-73.89289632439613,10468,POINT (-73.89289632439613 40.87144520687118),10468,4.0
Jerome Ave & E Mosholu Pkwy S,1029,40.87935,-73.88534,10467,POINT (-73.88534 40.87935),10467,4.0
Jerome Ave & Ogden Ave,338,40.829797,-73.931015,10452,POINT (-73.931015 40.829797),10452,5.0
Jerome Ave & W 177 St,260,40.850121,-73.910765,10453,POINT (-73.910765 40.850121),10453,5.0
Jerome Ave & W 184 St,213,40.860814,-73.902541,10468,POINT (-73.902541 40.860814),10468,4.0
Jerome Ave & W 193 St,549,40.86659,-73.89794,10468,POINT (-73.89794 40.86659),10468,4.0
Jerome Ave & W 195 St,471,40.86874,-73.89657,10468,POINT (-73.89657 40.86874),10468,4.0
Jerome Ave & W Fordham Rd,1077,40.86294,-73.90108,10468,POINT (-73.90108 40.86294),10468,4.0
Johnson St & Gold St,2189,40.69474881,-73.98362464,11201,POINT (-73.98362464 40.69474881),11201,2.0
Judge St & Britton Ave,290,40.74454,-73.88112,11373,POINT (-73.88112 40.74454),11373,3.0
Kane St & Clinton St,2097,40.6861758,-73.99645295,11201,POINT (-73.99645295 40.6861758),11201,2.0
Keegan Rd & 2 Ave,106,40.64243139706092,-74.0255355834961,11220,POINT (-74.0255355834961 40.64243139706092),11220,3.0
Kenmare St & Elizabeth St,5702,40.72054,-73.9949,10012,POINT (-73.9949 40.72054),10012,2.0
Kent Ave & Grand St,9149,40.716425,-73.96594,11211,POINT (-73.96594 40.716425),11211,3.0
Kent Ave & N 7 St,6260,40.72036775298455,-73.96165072917938,11211,POINT (-73.96165072917938 40.72036775298455),11211,3.0
Kent St & McGuinness Blvd,1184,40.73124,-73.95161,11222,POINT (-73.95161 40.73124),11222,3.0
King St & Varick St,4835,40.72789701409023,-74.00536268949507,10014,POINT (-74.00536268949507 40.72789701409023),10014,1.0
Kingsbridge Terrace & W 230 St,87,40.87555,-73.90212,10463,POINT (-73.90212 40.87555),10463,1.0
Kingsland Ave & Nassau Ave,3257,40.72577,-73.94173,11222,POINT (-73.94173 40.72577),11222,3.0
Kingston Ave & Carroll St,1207,40.66688,-73.9425,11213,POINT (-73.9425 40.66688),11213,5.0
Kingston Ave & E New York Ave,910,40.66219,-73.94293,11225,POINT (-73.94293 40.66219),11225,5.0
Kingston Ave & Herkimer St,1316,40.67890679,-73.94142771,11216,POINT (-73.94142771 40.67890679),11216,4.0
Kingston Ave & Montgomery St,1006,40.66481,-73.94269,11225,POINT (-73.94269 40.66481),11225,5.0
Kingston Ave & Park Pl,1177,40.67308,-73.94191,11213,POINT (-73.94191 40.67308),11213,5.0
Knickerbocker Ave & George St,1561,40.704425,-73.92836,11237,POINT (-73.92836 40.704425),11237,4.0
Knickerbocker Ave & Halsey St,887,40.693,-73.90824,11207,POINT (-73.90824 40.693),11207,5.0
Knickerbocker Ave & Hancock St,1160,40.69385,-73.90974,11221,POINT (-73.90974 40.69385),11221,4.0
Knickerbocker Ave & Moffat St,541,40.690434,-73.903737,11207,POINT (-73.903737 40.690434),11207,5.0
Knickerbocker Ave & Thames St,1834,40.70539,-73.92976,11237,POINT (-73.92976 40.70539),11237,4.0
Kosciuszko St & Nostrand Ave,2280,40.69072549,-73.95133465,11216,POINT (-73.95133465 40.69072549),11216,4.0
Kosciuszko St & Tompkins Ave,2671,40.69128258,-73.9452416,11221,POINT (-73.9452416 40.69128258),11221,4.0
LaGuardia Pl & W 3 St,5630,40.72917025,-73.99810231,10012,POINT (-73.99810231 40.72917025),10012,2.0
Lab - NYC,1,40.75404038449624,-73.99646580219269,10001,POINT (-73.99646580219269 40.75404038449624),10001,2.0
Lab - NYC - M,4,40.7541804,-73.9964658,10001,POINT (-73.9964658 40.7541804),10001,2.0
Lafayette Ave & Franklin Ave,1511,40.689271,-73.957324,11205,POINT (-73.957324 40.689271),11205,4.0
Lafayette Ave & Ft Greene Pl,5522,40.68700231292619,-73.97664964199066,11217,POINT (-73.97664964199066 40.68700231292619),11217,2.0
Lafayette Ave & Hunts Point Ave,360,40.816567,-73.888161,10474,POINT (-73.888161 40.816567),10474,5.0
Lafayette Ave & St James Pl,3969,40.68851534,-73.9647628,11205,POINT (-73.9647628 40.68851534),11205,4.0
Lafayette Ave & Stuyvesant Ave,1194,40.6919925157634,-73.9325501024723,11221,POINT (-73.9325501024723 40.6919925157634),11221,4.0
Lafayette St & E 8 St,15631,40.73020660529954,-73.99102628231049,10003,POINT (-73.99102628231049 40.73020660529954),10003,2.0
Lafayette St & Grand St,6511,40.72028,-73.99879,10013,POINT (-73.99879 40.72028),10013,2.0
Lafayette St & Jersey St,9934,40.72456089,-73.99565293,10012,POINT (-73.99565293 40.72456089),10012,2.0
Laight St & Hudson St,1430,40.72185379,-74.00771779,10013,POINT (-74.00771779 40.72185379),10013,2.0
Lawrence St & Willoughby St,4166,40.69236178,-73.98631746,11201,POINT (-73.98631746 40.69236178),11201,2.0
Lee Ave & Taylor St,283,40.706732,-73.961241,11211,POINT (-73.961241 40.706732),11211,3.0
Lefferts Ave & Albany Ave,571,40.66288,-73.94019,11203,POINT (-73.94019 40.66288),11203,5.0
Lefferts Ave & Schenectady Ave,795,40.66343,-73.93472,11213,POINT (-73.93472 40.66343),11213,5.0
Lefferts Pl & Franklin Ave,2404,40.680342423,-73.9557689392,11238,POINT (-73.9557689392 40.680342423),11238,2.0
Lenox Ave & W 111 St,4007,40.7987859,-73.9523,10026,POINT (-73.9523 40.7987859),10026,5.0
Lenox Ave & W 115 St,1954,40.8011939,-73.9500739,10026,POINT (-73.9500739 40.8011939),10026,5.0
Lenox Ave & W 117 St,3749,40.8025566,-73.9490782,10026,POINT (-73.9490782 40.8025566),10026,5.0
Lenox Ave & W 126 St,4892,40.808442,-73.9452087,10027,POINT (-73.9452087 40.808442),10027,4.0
Lenox Ave & W 130 St,1664,40.8107922,-73.9430681,10027,POINT (-73.9430681 40.8107922),10027,4.0
Lenox Ave & W 133 St,1462,40.81296,-73.941878,10030,POINT (-73.941878 40.81296),10030,5.0
Lenox Ave & W 140 St,1514,40.817245,-73.938787,10030,POINT (-73.938787 40.817245),10030,5.0
Lenox Ave & W 144 St,1141,40.819783,-73.936521,10037,POINT (-73.936521 40.819783),10037,5.0
Lenox Ave & W 146 St,610,40.821111,-73.935971,10039,POINT (-73.935971 40.821111),10039,5.0
Lenox Rd & E 43 St,144,40.65496,-73.93765,11203,POINT (-73.93765 40.65496),11203,5.0
Leonard St & Boerum St,1838,40.70583339,-73.94644578,11206,POINT (-73.94644578 40.70583339),11206,4.0
Leonard St & Church St,3736,40.717571,-74.005549,10013,POINT (-74.005549 40.717571),10013,2.0
Leonard St & Maujer St,760,40.7103685423523,-73.94705951213837,11206,POINT (-73.94705951213837 40.7103685423523),11206,4.0
Leonard St & Nassau Ave,3516,40.7239567849954,-73.94984364509583,11222,POINT (-73.94984364509583 40.7239567849954),11222,3.0
Lewis Ave & Decatur St,867,40.6814598,-73.934903,11233,POINT (-73.934903 40.6814598),11233,5.0
Lewis Ave & Fulton St,410,40.67972,-73.93467,11233,POINT (-73.93467 40.67972),11233,5.0
Lewis Ave & Greene Ave,1692,40.68995,-73.9365,11221,POINT (-73.9365 40.68995),11221,4.0
